2025-09-08 12:51:20,896 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000664}
2025-09-08 12:51:20,993 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.007678}
2025-09-08 12:51:33,820 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000845}
2025-09-08 12:51:33,904 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.008761}
2025-09-08 12:51:40,027 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.008903}
2025-09-08 12:52:20,593 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.00465}
2025-09-08 12:54:03,223 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000539}
2025-09-08 12:54:03,355 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.010364}
2025-09-08 12:54:50,202 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.017291}
2025-09-08 12:55:06,616 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.004935}
2025-09-08 12:55:34,006 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.001503}
2025-09-08 13:05:30,173 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000209}
2025-09-08 13:05:30,321 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.006681}
2025-09-08 13:05:41,065 {'url': '/api/deleteData', 'method': 'DELETE', 'client_IP': '127.0.0.1', 'response_time': 0.007494}
2025-09-08 13:05:47,097 {'url': '/api/deleteData', 'method': 'DELETE', 'client_IP': '127.0.0.1', 'response_time': 0.006139}
2025-09-08 13:06:14,088 {'url': '/api/deleteData', 'method': 'DELETE', 'client_IP': '127.0.0.1', 'response_time': 0.006374}
